"subj"	"block"	"bsl"	"speed"	"trialN"	"condi"	"setID"	"RTs"	"dprime"	"cyc"	"cond"	"tempo"	"response"	"RTadj"	"tone"
"112"	"12"	4	0.52328	1	32	"2"	21	0.8973	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.37402	15
"113"	"12"	4	0.52328	1	33	"2"	7	0.8921	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.36882	15
"114"	"12"	4	0.52328	1	35	"2"	28	0.8158	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.29252	12
"115"	"12"	4	0.52328	1	36	"2"	17	0.8607	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.33742	13
"116"	"12"	4	0.52328	1	39	"2"	24	1.0829	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.55962	22
"117"	"12"	4	0.52328	1	41	"2"	3	1.0023	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.47902	19
"118"	"12"	4	0.52328	1	42	"2"	8	0.8772	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.35392	14
"119"	"12"	4	0.52328	1	45	"2"	9	0.8518	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.32852	13
"120"	"12"	4	0.52328	1	46	"2"	14	0.8663	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.34302	14
"121"	"12"	4	0.52328	1	47	"2"	1	1.121	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.59772	24
"122"	"12"	4	0.52328	1	50	"2"	29	0.8304	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.30712	12
"123"	"12"	4	0.52328	1	52	"2"	23	1.018	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.49472	20
"124"	"12"	4	0.52328	1	54	"2"	4	0.8895	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.36622	15
"125"	"12"	4	0.52328	1	55	"2"	22	0.8612	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.33792	14
"126"	"12"	4	0.52328	1	56	"2"	31	0.7893	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.26602	11
"127"	"12"	4	0.52328	1	61	"2"	30	1.0859	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.56262	23
"129"	"12"	4	0.52328	1	63	"2"	27	0.7497	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.22642	9
"131"	"12"	4	0.52328	1	67	"2"	11	0.9156	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39232	16
"132"	"12"	4	0.52328	1	73	"2"	18	0.9162	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39292	16
"133"	"12"	4	0.52328	1	76	"2"	2	0.732	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.20872	8
"134"	"12"	4	0.52328	1	77	"2"	12	0.8327	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.30942	12
"135"	"12"	4	0.52328	1	78	"2"	13	0.9568	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43352	17
"136"	"12"	4	0.52328	1	79	"2"	20	1.1454	3.886256	"TEN"	"RANDREG"	"25ms"	"Hit"	0.62212	25
"137"	"13"	1	0.40298	1	2	"2"	12	1.19	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.78702	31
"138"	"13"	1	0.40298	1	3	"2"	18	0.8119	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.40892	16
"139"	"13"	1	0.40298	1	4	"2"	23	0.7993	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39632	16
"142"	"13"	1	0.40298	1	11	"2"	5	0.8274	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.42442	17
"143"	"13"	1	0.40298	1	17	"2"	34	0.8672	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.46422	19
"144"	"13"	1	0.40298	1	25	"2"	19	0.8228	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.41982	17
"145"	"13"	1	0.40298	1	26	"2"	20	0.7978	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39482	16
"146"	"13"	1	0.40298	1	34	"2"	13	0.7321	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.32912	13
"147"	"13"	1	0.40298	1	36	"2"	28	1.0234	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.62042	25
"148"	"13"	1	0.40298	1	39	"2"	17	1.127	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.72402	29
"149"	"13"	1	0.40298	1	40	"2"	10	0.8927	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.48972	20
"150"	"13"	1	0.40298	1	43	"2"	33	0.8962	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.49322	20
"151"	"13"	1	0.40298	1	44	"2"	29	0.9634	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.56042	22
"152"	"13"	1	0.40298	1	45	"2"	1	0.8162	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.41322	17
"153"	"13"	1	0.40298	1	47	"2"	6	0.6063	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.20332	8
"154"	"13"	1	0.40298	1	48	"2"	26	0.814	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.41102	16
"156"	"13"	1	0.40298	1	51	"2"	35	0.745	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.34202	14
"158"	"13"	1	0.40298	1	54	"2"	3	0.6521	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.24912	10
"159"	"13"	1	0.40298	1	55	"2"	14	1.0627	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.65972	26
"161"	"13"	1	0.40298	1	57	"2"	8	0.9049	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.50192	20
"162"	"13"	1	0.40298	1	58	"2"	27	0.7885	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.38552	15
"164"	"13"	1	0.40298	1	61	"2"	4	0.9277	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.52472	21
"165"	"13"	1	0.40298	1	62	"2"	25	0.8737	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.47072	19
"166"	"13"	1	0.40298	1	68	"2"	21	0.9944	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.59142	24
"167"	"13"	1	0.40298	1	69	"2"	15	0.7019	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.29892	12
"168"	"13"	1	0.40298	1	72	"2"	2	0.7284	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.32542	13
"169"	"13"	1	0.40298	1	78	"2"	7	0.7899	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.38692	15
"170"	"13"	1	0.40298	1	79	"2"	11	0.8458	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.44282	18
"171"	"13"	1	0.40298	1	80	"2"	22	0.8125	3.680934	"TEN"	"RANDREG"	"25ms"	"Hit"	0.40952	16
"172"	"2"	5	0.34746	1	2	"2"	24	0.9061	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.55864	22
"174"	"2"	5	0.34746	1	7	"2"	9	0.8736	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.52614	21
"175"	"2"	5	0.34746	1	9	"2"	22	0.7405	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.39304	16
"176"	"2"	5	0.34746	1	10	"2"	2	0.816	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.46854	19
"177"	"2"	5	0.34746	1	13	"2"	28	0.658	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.31054	12
"178"	"2"	5	0.34746	1	15	"2"	5	0.7266	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.37914	15
"179"	"2"	5	0.34746	1	17	"2"	31	0.8242	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.47674	19
"180"	"2"	5	0.34746	1	18	"2"	13	0.7108	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.36334	15
"181"	"2"	5	0.34746	1	21	"2"	21	0.9515	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.60404	24
"182"	"2"	5	0.34746	1	22	"2"	3	0.803	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.45554	18
"183"	"2"	5	0.34746	1	23	"2"	1	0.7823	3.28386	"TEN"	"RANDREG"	"25ms"	"Hit"	0.43484	17
