subj	 block	 speed	 trialN	 condi	 setID	 RTs	 response	 dprime	 correct
1	4	6	31	1	32	NaN	2	2.369897 	1
1	4	6	32	4	5	0.4159	1	2.369897 	1
1	4	6	33	2	23	-0.4548	-2	2.369897 	0
1	4	6	34	2	18	NaN	0	2.369897 	0
1	4	6	35	1	3	NaN	2	2.369897 	1
1	4	6	36	2	3	4.7073	1	2.369897 	1
1	4	6	37	1	21	NaN	2	2.369897 	1
1	4	6	38	1	18	NaN	2	2.369897 	1
1	4	6	39	2	28	3.4672	1	2.369897 	1
1	4	6	40	2	1	NaN	0	2.369897 	0
1	4	6	41	1	24	NaN	2	2.369897 	1
1	4	6	42	1	2	NaN	2	2.369897 	1
1	4	6	43	2	16	4.3712	1	2.369897 	1
1	4	6	44	2	25	3.1164	1	2.369897 	1
1	4	6	45	2	19	3.9394	1	2.369897 	1
1	4	6	46	4	1	0.4160	1	2.369897 	1
1	4	6	47	1	7	NaN	2	2.369897 	1
1	4	6	48	2	33	3.3253	1	2.369897 	1
1	4	6	49	1	10	NaN	2	2.369897 	1
1	4	6	50	1	33	NaN	2	2.369897 	1
1	4	6	51	2	8	4.8597	1	2.369897 	1
1	4	6	52	2	2	3.6515	1	2.369897 	1
1	4	6	53	1	14	NaN	2	2.369897 	1
1	4	6	54	1	4	NaN	2	2.369897 	1
1	4	6	55	2	30	3.6119	1	2.369897 	1
1	4	6	56	2	31	4.1964	1	2.369897 	1
1	4	6	57	1	9	7.7396	-1	2.369897 	0
1	4	6	58	3	4	NaN	2	2.369897 	1
1	4	6	59	1	17	NaN	2	2.369897 	1
1	4	6	60	1	12	NaN	2	2.369897 	1
1	4	6	61	1	31	NaN	2	2.369897 	1
1	4	6	62	2	15	1.8591	1	2.369897 	1
1	4	6	63	1	23	NaN	2	2.369897 	1
1	4	6	64	1	35	NaN	2	2.369897 	1
1	4	6	65	2	24	NaN	0	2.369897 	0
1	4	6	66	1	13	NaN	2	2.369897 	1
1	4	6	67	1	5	NaN	2	2.369897 	1
1	4	6	68	2	7	3.9890	1	2.369897 	1
1	4	6	69	3	1	NaN	2	2.369897 	1
1	4	6	70	2	14	4.0708	1	2.369897 	1
1	4	6	71	1	1	NaN	2	2.369897 	1
1	4	6	72	4	4	0.3158	1	2.369897 	1
1	4	6	73	2	27	3.0051	1	2.369897 	1
1	4	6	74	4	2	0.3889	1	2.369897 	1
1	4	6	75	1	28	NaN	2	2.369897 	1
1	4	6	76	2	29	4.0762	1	2.369897 	1
1	4	6	77	1	34	NaN	2	2.369897 	1
1	4	6	78	2	21	2.7849	1	2.369897 	1
1	4	6	79	2	9	NaN	0	2.369897 	0
1	4	6	80	1	29	NaN	2	2.369897 	1
1	5	2	1	1	10	NaN	2	3.680934 	1
1	5	2	2	2	3	1.2630	1	3.680934 	1
1	5	2	3	1	11	NaN	2	3.680934 	1
1	5	2	4	2	18	1.2812	1	3.680934 	1
1	5	2	5	1	3	NaN	2	3.680934 	1
1	5	2	6	1	33	NaN	2	3.680934 	1
1	5	2	7	2	4	1.3010	1	3.680934 	1
1	5	2	8	1	2	NaN	2	3.680934 	1
1	5	2	9	2	32	0.8728	1	3.680934 	1
1	5	2	10	2	26	1.3582	1	3.680934 	1
1	5	2	11	3	3	NaN	2	3.680934 	1
1	5	2	12	1	5	NaN	2	3.680934 	1
1	5	2	13	2	29	1.4188	1	3.680934 	1
1	5	2	14	1	7	NaN	2	3.680934 	1
1	5	2	15	2	34	1.1959	1	3.680934 	1
1	5	2	16	4	5	0.4761	1	3.680934 	1
1	5	2	17	2	24	1.3991	1	3.680934 	1
1	5	2	18	2	13	1.2696	1	3.680934 	1
1	5	2	19	1	35	NaN	2	3.680934 	1
1	5	2	20	4	1	0.3199	1	3.680934 	1
1	5	2	21	2	28	1.4398	1	3.680934 	1
1	5	2	22	2	5	1.0845	1	3.680934 	1
1	5	2	23	2	35	1.3535	1	3.680934 	1
1	5	2	24	1	32	NaN	2	3.680934 	1
1	5	2	25	3	1	NaN	2	3.680934 	1
1	5	2	26	1	9	NaN	2	3.680934 	1
1	5	2	27	1	6	NaN	2	3.680934 	1
1	5	2	28	2	9	1.3331	1	3.680934 	1
1	5	2	29	4	2	0.3959	1	3.680934 	1
1	5	2	30	1	24	NaN	2	3.680934 	1
1	5	2	31	1	18	NaN	2	3.680934 	1
1	5	2	32	1	29	NaN	2	3.680934 	1
1	5	2	33	2	2	1.2514	1	3.680934 	1
1	5	2	34	2	30	1.1546	1	3.680934 	1
1	5	2	35	4	4	0.3026	1	3.680934 	1
1	5	2	36	3	2	NaN	2	3.680934 	1
1	5	2	37	1	14	NaN	2	3.680934 	1
1	5	2	38	3	5	NaN	2	3.680934 	1
1	5	2	39	2	25	1.1811	1	3.680934 	1
1	5	2	40	2	27	1.1144	1	3.680934 	1
1	5	2	41	1	22	NaN	2	3.680934 	1
1	5	2	42	3	4	NaN	2	3.680934 	1
1	5	2	43	1	15	NaN	2	3.680934 	1
1	5	2	44	2	1	1.2558	1	3.680934 	1
1	5	2	45	1	13	NaN	2	3.680934 	1
1	5	2	46	2	23	1.3128	1	3.680934 	1
1	5	2	47	2	15	1.2455	1	3.680934 	1
1	5	2	48	2	33	1.1282	1	3.680934 	1
1	5	2	49	2	22	1.4883	1	3.680934 	1
1	5	2	50	2	20	1.2648	1	3.680934 	1
1	5	2	51	2	11	1.4896	1	3.680934 	1
1	5	2	52	1	21	NaN	2	3.680934 	1
1	5	2	53	2	31	1.4628	1	3.680934 	1
1	5	2	54	2	8	0.4976	1	3.680934 	1
1	5	2	55	1	20	5.5115	-1	3.680934 	0
1	5	2	56	2	17	1.4824	1	3.680934 	1
1	5	2	57	2	16	1.1113	1	3.680934 	1
1	5	2	58	1	8	NaN	2	3.680934 	1
1	5	2	59	1	27	NaN	2	3.680934 	1
1	5	2	60	1	26	NaN	2	3.680934 	1
1	5	2	61	4	3	0.4656	1	3.680934 	1
1	5	2	62	2	14	1.3185	1	3.680934 	1
1	5	2	63	1	25	NaN	2	3.680934 	1
1	5	2	64	1	16	NaN	2	3.680934 	1
1	5	2	65	2	7	1.3889	1	3.680934 	1
1	5	2	66	2	6	1.2497	1	3.680934 	1
1	5	2	67	1	1	NaN	2	3.680934 	1
1	5	2	68	1	12	4.5118	-1	3.680934 	0
1	5	2	69	1	31	NaN	2	3.680934 	1
1	5	2	70	2	19	1.7154	1	3.680934 	1
1	5	2	71	2	21	1.3171	1	3.680934 	1
1	5	2	72	1	17	5.4552	-1	3.680934 	0
1	5	2	73	1	30	NaN	2	3.680934 	1
1	5	2	74	1	4	NaN	2	3.680934 	1
1	5	2	75	2	10	1.3850	1	3.680934 	1
1	5	2	76	1	23	NaN	2	3.680934 	1
1	5	2	77	1	19	NaN	2	3.680934 	1
1	5	2	78	1	34	NaN	2	3.680934 	1
1	5	2	79	1	28	NaN	2	3.680934 	1
1	5	2	80	2	12	1.3607	1	3.680934 	1
1	6	5	1	1	21	NaN	2	3.084385 	1
1	6	5	2	1	8	NaN	2	3.084385 	1
1	6	5	3	1	20	NaN	2	3.084385 	1
1	6	5	4	1	35	NaN	2	3.084385 	1
1	6	5	5	2	17	2.1547	1	3.084385 	1
1	6	5	6	1	22	NaN	2	3.084385 	1
1	6	5	7	1	12	NaN	2	3.084385 	1
1	6	5	8	1	28	NaN	2	3.084385 	1
1	6	5	9	2	9	2.2490	1	3.084385 	1
1	6	5	10	3	3	NaN	2	3.084385 	1
1	6	5	11	2	2	NaN	0	3.084385 	0
1	6	5	12	1	24	NaN	2	3.084385 	1
1	6	5	13	2	12	3.2658	1	3.084385 	1
1	6	5	14	2	30	2.5713	1	3.084385 	1
1	6	5	15	1	16	NaN	2	3.084385 	1
1	6	5	16	1	4	NaN	2	3.084385 	1
1	6	5	17	1	15	NaN	2	3.084385 	1
1	6	5	18	1	9	NaN	2	3.084385 	1
1	6	5	19	2	7	NaN	0	3.084385 	0
1	6	5	20	1	23	NaN	2	3.084385 	1
1	6	5	21	2	13	2.4659	1	3.084385 	1
1	6	5	22	1	2	NaN	2	3.084385 	1
1	6	5	23	1	6	NaN	2	3.084385 	1
1	6	5	24	2	22	2.7617	1	3.084385 	1
1	6	5	25	2	26	2.8168	1	3.084385 	1
1	6	5	26	3	5	NaN	2	3.084385 	1
1	6	5	27	2	4	3.6304	1	3.084385 	1
1	6	5	28	1	7	NaN	2	3.084385 	1
1	6	5	29	2	15	2.7270	1	3.084385 	1
1	6	5	30	1	34	NaN	2	3.084385 	1
1	6	5	31	3	2	NaN	2	3.084385 	1
1	6	5	32	1	32	NaN	2	3.084385 	1
1	6	5	33	1	29	NaN	2	3.084385 	1
1	6	5	34	1	17	NaN	2	3.084385 	1
1	6	5	35	2	19	2.4379	1	3.084385 	1
1	6	5	36	2	8	2.4424	1	3.084385 	1
1	6	5	37	2	33	3.0373	1	3.084385 	1
1	6	5	38	1	30	NaN	2	3.084385 	1
1	6	5	39	2	10	3.0160	1	3.084385 	1
1	6	5	40	4	1	0.9523	1	3.084385 	1
1	6	5	41	1	1	NaN	2	3.084385 	1
1	6	5	42	2	28	2.2164	1	3.084385 	1
1	6	5	43	2	23	1.2945	1	3.084385 	1
1	6	5	44	1	5	NaN	2	3.084385 	1
1	6	5	45	1	27	NaN	2	3.084385 	1
1	6	5	46	2	3	2.2382	1	3.084385 	1
1	6	5	47	2	29	2.1417	1	3.084385 	1
1	6	5	48	2	24	2.1876	1	3.084385 	1
1	6	5	49	2	27	2.4702	1	3.084385 	1
1	6	5	50	1	33	4.3012	-1	3.084385 	0
1	6	5	51	1	31	NaN	2	3.084385 	1
1	6	5	52	2	18	2.5268	1	3.084385 	1
1	6	5	53	2	34	2.5665	1	3.084385 	1
1	6	5	54	3	4	NaN	2	3.084385 	1
1	6	5	55	1	3	NaN	2	3.084385 	1
1	6	5	56	4	5	0.3263	1	3.084385 	1
1	6	5	57	1	19	5.5332	-1	3.084385 	0
1	6	5	58	2	16	2.1367	1	3.084385 	1
1	6	5	59	2	25	2.1303	1	3.084385 	1
1	6	5	60	4	2	0.9973	1	3.084385 	1
1	6	5	61	1	18	NaN	2	3.084385 	1
1	6	5	62	1	25	NaN	2	3.084385 	1
1	6	5	63	1	14	NaN	2	3.084385 	1
1	6	5	64	2	11	2.4037	1	3.084385 	1
1	6	5	65	4	3	0.3625	1	3.084385 	1
1	6	5	66	4	4	0.3515	1	3.084385 	1
1	6	5	67	2	1	2.9355	1	3.084385 	1
1	6	5	68	2	35	2.0280	1	3.084385 	1
1	6	5	69	2	21	3.0512	1	3.084385 	1
1	6	5	70	1	11	NaN	2	3.084385 	1
1	6	5	71	2	14	3.4655	1	3.084385 	1
1	6	5	72	1	13	NaN	2	3.084385 	1
1	6	5	73	2	31	3.2329	1	3.084385 	1
1	6	5	74	1	10	7.3938	-1	3.084385 	0
1	6	5	75	2	5	2.6920	1	3.084385 	1
1	6	5	76	2	32	1.2494	1	3.084385 	1
1	6	5	77	2	20	2.7752	1	3.084385 	1
1	6	5	78	2	6	2.3299	1	3.084385 	1
1	6	5	79	1	26	NaN	2	3.084385 	1
1	6	5	80	3	1	NaN	2	3.084385 	1
2	1	3	1	3	1	NaN	2	2.859004 	1
2	1	3	2	4	5	0.5111	1	2.859004 	1
2	1	3	3	1	26	NaN	2	2.859004 	1
2	1	3	4	1	19	NaN	2	2.859004 	1
2	1	3	5	1	8	NaN	2	2.859004 	1
2	1	3	6	2	22	1.5791	1	2.859004 	1
2	1	3	7	2	1	1.8903	1	2.859004 	1
2	1	3	8	1	22	NaN	2	2.859004 	1
2	1	3	9	2	17	1.7222	1	2.859004 	1
2	1	3	10	2	13	1.8200	1	2.859004 	1
2	1	3	11	2	15	1.2563	1	2.859004 	1
2	1	3	12	1	3	NaN	2	2.859004 	1
2	1	3	13	2	32	1.4371	1	2.859004 	1
2	1	3	14	2	18	1.1239	1	2.859004 	1
2	1	3	15	1	13	7.0066	-1	2.859004 	0
2	1	3	16	1	11	NaN	2	2.859004 	1
2	1	3	17	2	25	1.8618	1	2.859004 	1
2	1	3	18	1	2	NaN	2	2.859004 	1
2	1	3	19	2	21	2.0928	1	2.859004 	1
2	1	3	20	3	2	NaN	2	2.859004 	1
2	1	3	21	1	5	7.4135	-1	2.859004 	0
2	1	3	22	2	7	1.7584	1	2.859004 	1
2	1	3	23	1	17	6.7675	-1	2.859004 	0
2	1	3	24	1	10	6.0898	-1	2.859004 	0
2	1	3	25	1	12	NaN	2	2.859004 	1
2	1	3	26	1	23	NaN	2	2.859004 	1
2	1	3	27	2	3	0.7067	1	2.859004 	1
2	1	3	28	1	21	NaN	2	2.859004 	1
2	1	3	29	2	12	0.5565	1	2.859004 	1
2	1	3	30	1	6	NaN	2	2.859004 	1
2	1	3	31	2	20	1.8569	1	2.859004 	1
2	1	3	32	2	10	-0.0056	-2	2.859004 	0
2	1	3	33	1	24	7.8854	-1	2.859004 	0
2	1	3	34	2	16	1.3065	1	2.859004 	1
2	1	3	35	2	27	1.6186	1	2.859004 	1
2	1	3	36	2	19	1.4220	1	2.859004 	1
2	1	3	37	1	33	NaN	2	2.859004 	1
2	1	3	38	1	28	NaN	2	2.859004 	1
2	1	3	39	1	35	NaN	2	2.859004 	1
2	1	3	40	2	34	-0.8111	-2	2.859004 	0
